"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2025 04:45:00 - 01/01/2025 05:00:00","BZN|DE-LU","Sequence Sequence 1","-0.01","",""
"01/01/2025 04:45:00 - 01/01/2025 05:00:00","BZN|DE-LU","Sequence Sequence 2","-6.70","",""
"01/01/2025 05:00:00 - 01/01/2025 05:15:00","BZN|DE-LU","Sequence Sequence 1","-0.06","",""
"01/01/2025 05:00:00 - 01/01/2025 05:15:00","BZN|DE-LU","Sequence Sequence 2","-1.30","",""
"01/01/2025 05:15:00 - 01/01/2025 05:30:00","BZN|DE-LU","Sequence Sequence 1","-0.06","",""
"01/01/2025 05:15:00 - 01/01/2025 05:30:00","BZN|DE-LU","Sequence Sequence 2","-5.00","",""
"01/01/2025 05:30:00 - 01/01/2025 05:45:00","BZN|DE-LU","Sequence Sequence 1","-0.06","",""
"01/01/2025 05:30:00 - 01/01/2025 05:45:00","BZN|DE-LU","Sequence Sequence 2","-3.50","",""
"01/01/2025 05:45:00 - 01/01/2025 06:00:00","BZN|DE-LU","Sequence Sequence 1","-0.06","",""
"01/01/2025 05:45:00 - 01/01/2025 06:00:00","BZN|DE-LU","Sequence Sequence 2","-11.70","",""
"01/01/2025 06:00:00 - 01/01/2025 06:15:00","BZN|DE-LU","Sequence Sequence 1","-0.09","",""
"01/01/2025 06:00:00 - 01/01/2025 06:15:00","BZN|DE-LU","Sequence Sequence 2","5.00","",""
"01/01/2025 06:15:00 - 01/01/2025 06:30:00","BZN|DE-LU","Sequence Sequence 1","-0.09","",""
"01/01/2025 06:15:00 - 01/01/2025 06:30:00","BZN|DE-LU","Sequence Sequence 2","-4.57","",""
"01/01/2025 06:30:00 - 01/01/2025 06:45:00","BZN|DE-LU","Sequence Sequence 1","-0.09","",""
"01/01/2025 06:30:00 - 01/01/2025 06:45:00","BZN|DE-LU","Sequence Sequence 2","-7.50","",""
"01/01/2025 06:45:00 - 01/01/2025 07:00:00","BZN|DE-LU","Sequence Sequence 1","-0.09","",""
"01/01/2025 06:45:00 - 01/01/2025 07:00:00","BZN|DE-LU","Sequence Sequence 2","-15.00","",""
"01/01/2025 07:00:00 - 01/01/2025 07:15:00","BZN|DE-LU","Sequence Sequence 1","-0.01","",""
"01/01/2025 07:00:00 - 01/01/2025 07:15:00","BZN|DE-LU","Sequence Sequence 2","-17.54","",""
"01/01/2025 07:15:00 - 01/01/2025 07:30:00","BZN|DE-LU","Sequence Sequence 1","-0.01","",""
"01/01/2025 07:15:00 - 01/01/2025 07:30:00","BZN|DE-LU","Sequence Sequence 2","-5.06","",""
"01/01/2025 07:30:00 - 01/01/2025 07:45:00","BZN|DE-LU","Sequence Sequence 1","-0.01","",""
"01/01/2025 07:30:00 - 01/01/2025 07:45:00","BZN|DE-LU","Sequence Sequence 2","11.50","",""
"01/01/2025 07:45:00 - 01/01/2025 08:00:00","BZN|DE-LU","Sequence Sequence 1","-0.01","",""
"01/01/2025 07:45:00 - 01/01/2025 08:00:00","BZN|DE-LU","Sequence Sequence 2","-0.40","",""
"01/01/2025 08:00:00 - 01/01/2025 08:15:00","BZN|DE-LU","Sequence Sequence 1","-0.01","",""
"01/01/2025 08:00:00 - 01/01/2025 08:15:00","BZN|DE-LU","Sequence Sequence 2","11.50","",""
"01/01/2025 08:15:00 - 01/01/2025 08:30:00","BZN|DE-LU","Sequence Sequence 1","-0.01","",""
"01/01/2025 08:15:00 - 01/01/2025 08:30:00","BZN|DE-LU","Sequence Sequence 2","-9.19","",""
"01/01/2025 08:30:00 - 01/01/2025 08:45:00","BZN|DE-LU","Sequence Sequence 1","-0.01","",""
"01/01/2025 08:30:00 - 01/01/2025 08:45:00","BZN|DE-LU","Sequence Sequence 2","-19.90","",""
"01/01/2025 08:45:00 - 01/01/2025 09:00:00","BZN|DE-LU","Sequence Sequence 1","-0.01","",""
"01/01/2025 08:45:00 - 01/01/2025 09:00:00","BZN|DE-LU","Sequence Sequence 2","-22.40","",""
"01/01/2025 09:00:00 - 01/01/2025 09:15:00","BZN|DE-LU","Sequence Sequence 1","-0.04","",""
"01/01/2025 09:00:00 - 01/01/2025 09:15:00","BZN|DE-LU","Sequence Sequence 2","30.60","",""
"01/01/2025 09:15:00 - 01/01/2025 09:30:00","BZN|DE-LU","Sequence Sequence 1","-0.04","",""
"01/01/2025 09:15:00 - 01/01/2025 09:30:00","BZN|DE-LU","Sequence Sequence 2","-14.90","",""
"01/01/2025 09:30:00 - 01/01/2025 09:45:00","BZN|DE-LU","Sequence Sequence 1","-0.04","",""
"01/01/2025 09:30:00 - 01/01/2025 09:45:00","BZN|DE-LU","Sequence Sequence 2","-29.91","",""
"01/01/2025 09:45:00 - 01/01/2025 10:00:00","BZN|DE-LU","Sequence Sequence 1","-0.04","",""
"01/01/2025 09:45:00 - 01/01/2025 10:00:00","BZN|DE-LU","Sequence Sequence 2","-18.74","",""
"01/01/2025 10:00:00 - 01/01/2025 10:15:00","BZN|DE-LU","Sequence Sequence 1","-0.03","",""
"01/01/2025 10:00:00 - 01/01/2025 10:15:00","BZN|DE-LU","Sequence Sequence 2","23.00","",""
"01/01/2025 10:15:00 - 01/01/2025 10:30:00","BZN|DE-LU","Sequence Sequence 1","-0.03","",""
"01/01/2025 10:15:00 - 01/01/2025 10:30:00","BZN|DE-LU","Sequence Sequence 2","1.52","",""
"01/01/2025 10:30:00 - 01/01/2025 10:45:00","BZN|DE-LU","Sequence Sequence 1","-0.03","",""
"01/01/2025 10:30:00 - 01/01/2025 10:45:00","BZN|DE-LU","Sequence Sequence 2","-32.40","",""
"01/01/2025 10:45:00 - 01/01/2025 11:00:00","BZN|DE-LU","Sequence Sequence 1","-0.03","",""
"01/01/2025 10:45:00 - 01/01/2025 11:00:00","BZN|DE-LU","Sequence Sequence 2","-34.91","",""
"01/01/2025 11:00:00 - 01/01/2025 11:15:00","BZN|DE-LU","Sequence Sequence 1","-0.10","",""
"01/01/2025 11:00:00 - 01/01/2025 11:15:00","BZN|DE-LU","Sequence Sequence 2","19.91","",""
"01/01/2025 11:15:00 - 01/01/2025 11:30:00","BZN|DE-LU","Sequence Sequence 1","-0.10","",""
"01/01/2025 11:15:00 - 01/01/2025 11:30:00","BZN|DE-LU","Sequence Sequence 2","-9.32","",""
"01/01/2025 11:30:00 - 01/01/2025 11:45:00","BZN|DE-LU","Sequence Sequence 1","-0.10","",""
"01/01/2025 11:30:00 - 01/01/2025 11:45:00","BZN|DE-LU","Sequence Sequence 2","-29.91","",""
"01/01/2025 11:45:00 - 01/01/2025 12:00:00","BZN|DE-LU","Sequence Sequence 1","-0.10","",""
"01/01/2025 11:45:00 - 01/01/2025 12:00:00","BZN|DE-LU","Sequence Sequence 2","-3.90","",""
"01/01/2025 12:00:00 - 01/01/2025 12:15:00","BZN|DE-LU","Sequence Sequence 1","-0.05","",""
"01/01/2025 12:00:00 - 01/01/2025 12:15:00","BZN|DE-LU","Sequence Sequence 2","12.42","",""
"01/01/2025 12:15:00 - 01/01/2025 12:30:00","BZN|DE-LU","Sequence Sequence 1","-0.05","",""
"01/01/2025 12:15:00 - 01/01/2025 12:30:00","BZN|DE-LU","Sequence Sequence 2","9.00","",""
"01/01/2025 12:30:00 - 01/01/2025 12:45:00","BZN|DE-LU","Sequence Sequence 1","-0.05","",""
"01/01/2025 12:30:00 - 01/01/2025 12:45:00","BZN|DE-LU","Sequence Sequence 2","-24.90","",""
"01/01/2025 12:45:00 - 01/01/2025 13:00:00","BZN|DE-LU","Sequence Sequence 1","-0.05","",""
"01/01/2025 12:45:00 - 01/01/2025 13:00:00","BZN|DE-LU","Sequence Sequence 2","-16.85","",""
"01/01/2025 13:00:00 - 01/01/2025 13:15:00","BZN|DE-LU","Sequence Sequence 1","-0.10","",""
"01/01/2025 13:00:00 - 01/01/2025 13:15:00","BZN|DE-LU","Sequence Sequence 2","6.90","",""
"01/01/2025 13:15:00 - 01/01/2025 13:30:00","BZN|DE-LU","Sequence Sequence 1","-0.10","",""
"01/01/2025 13:15:00 - 01/01/2025 13:30:00","BZN|DE-LU","Sequence Sequence 2","-29.92","",""
"01/01/2025 13:30:00 - 01/01/2025 13:45:00","BZN|DE-LU","Sequence Sequence 1","-0.10","",""
"01/01/2025 13:30:00 - 01/01/2025 13:45:00","BZN|DE-LU","Sequence Sequence 2","-10.68","",""
"01/01/2025 13:45:00 - 01/01/2025 14:00:00","BZN|DE-LU","Sequence Sequence 1","-0.10","",""
"01/01/2025 13:45:00 - 01/01/2025 14:00:00","BZN|DE-LU","Sequence Sequence 2","15.50","",""
"01/01/2025 14:00:00 - 01/01/2025 14:15:00","BZN|DE-LU","Sequence Sequence 1","-1.01","",""
"01/01/2025 14:00:00 - 01/01/2025 14:15:00","BZN|DE-LU","Sequence Sequence 2","-11.11","",""
"01/01/2025 14:15:00 - 01/01/2025 14:30:00","BZN|DE-LU","Sequence Sequence 1","-1.01","",""
"01/01/2025 14:15:00 - 01/01/2025 14:30:00","BZN|DE-LU","Sequence Sequence 2","-24.92","",""
"01/01/2025 14:30:00 - 01/01/2025 14:45:00","BZN|DE-LU","Sequence Sequence 1","-1.01","",""
"01/01/2025 14:30:00 - 01/01/2025 14:45:00","BZN|DE-LU","Sequence Sequence 2","-9.91","",""
"01/01/2025 14:45:00 - 01/01/2025 15:00:00","BZN|DE-LU","Sequence Sequence 1","-1.01","",""
"01/01/2025 14:45:00 - 01/01/2025 15:00:00","BZN|DE-LU","Sequence Sequence 2","27.90","",""
"01/01/2025 15:00:00 - 01/01/2025 15:15:00","BZN|DE-LU","Sequence Sequence 1","-0.01","",""
"01/01/2025 15:00:00 - 01/01/2025 15:15:00","BZN|DE-LU","Sequence Sequence 2","-27.49","",""
"01/01/2025 15:15:00 - 01/01/2025 15:30:00","BZN|DE-LU","Sequence Sequence 1","-0.01","",""
"01/01/2025 15:15:00 - 01/01/2025 15:30:00","BZN|DE-LU","Sequence Sequence 2","-14.99","",""
"01/01/2025 15:30:00 - 01/01/2025 15:45:00","BZN|DE-LU","Sequence Sequence 1","-0.01","",""
"01/01/2025 15:30:00 - 01/01/2025 15:45:00","BZN|DE-LU","Sequence Sequence 2","-0.92","",""
"01/01/2025 15:45:00 - 01/01/2025 16:00:00","BZN|DE-LU","Sequence Sequence 1","-0.01","",""
"01/01/2025 15:45:00 - 01/01/2025 16:00:00","BZN|DE-LU","Sequence Sequence 2","39.00","",""
"01/01/2025 16:00:00 - 01/01/2025 16:15:00","BZN|DE-LU","Sequence Sequence 1","-0.01","",""
"01/01/2025 16:00:00 - 01/01/2025 16:15:00","BZN|DE-LU","Sequence Sequence 2","-14.66","",""
"01/01/2025 16:15:00 - 01/01/2025 16:30:00","BZN|DE-LU","Sequence Sequence 1","-0.01","",""
"01/01/2025 16:15:00 - 01/01/2025 16:30:00","BZN|DE-LU","Sequence Sequence 2","5.00","",""
"01/01/2025 16:30:00 - 01/01/2025 16:45:00","BZN|DE-LU","Sequence Sequence 1","-0.01","",""
"01/01/2025 16:30:00 - 01/01/2025 16:45:00","BZN|DE-LU","Sequence Sequence 2","-2.44","",""
"01/01/2025 16:45:00 - 01/01/2025 17:00:00","BZN|DE-LU","Sequence Sequence 1","-0.01","",""
"01/01/2025 16:45:00 - 01/01/2025 17:00:00","BZN|DE-LU","Sequence Sequence 2","10.09","",""
"01/01/2025 17:00:00 - 01/01/2025 17:15:00","BZN|DE-LU","Sequence Sequence 1","0.07","",""
"01/01/2025 17:00:00 - 01/01/2025 17:15:00","BZN|DE-LU","Sequence Sequence 2","7.50","",""
"01/01/2025 17:15:00 - 01/01/2025 17:30:00","BZN|DE-LU","Sequence Sequence 1","0.07","",""
"01/01/2025 17:15:00 - 01/01/2025 17:30:00","BZN|DE-LU","Sequence Sequence 2","-4.91","",""
"01/01/2025 17:30:00 - 01/01/2025 17:45:00","BZN|DE-LU","Sequence Sequence 1","0.07","",""
"01/01/2025 17:30:00 - 01/01/2025 17:45:00","BZN|DE-LU","Sequence Sequence 2","12.42","",""
"01/01/2025 17:45:00 - 01/01/2025 18:00:00","BZN|DE-LU","Sequence Sequence 1","0.07","",""
"01/01/2025 17:45:00 - 01/01/2025 18:00:00","BZN|DE-LU","Sequence Sequence 2","1.00","",""
"01/01/2025 18:00:00 - 01/01/2025 18:15:00","BZN|DE-LU","Sequence Sequence 1","1.01","",""
"01/01/2025 18:00:00 - 01/01/2025 18:15:00","BZN|DE-LU","Sequence Sequence 2","0.08","",""
"01/01/2025 18:15:00 - 01/01/2025 18:30:00","BZN|DE-LU","Sequence Sequence 1","1.01","",""
"01/01/2025 18:15:00 - 01/01/2025 18:30:00","BZN|DE-LU","Sequence Sequence 2","20.01","",""
"01/01/2025 18:30:00 - 01/01/2025 18:45:00","BZN|DE-LU","Sequence Sequence 1","1.01","",""
"01/01/2025 18:30:00 - 01/01/2025 18:45:00","BZN|DE-LU","Sequence Sequence 2","17.35","",""
"01/01/2025 18:45:00 - 01/01/2025 19:00:00","BZN|DE-LU","Sequence Sequence 1","1.01","",""
"01/01/2025 18:45:00 - 01/01/2025 19:00:00","BZN|DE-LU","Sequence Sequence 2","-2.80","",""
"01/01/2025 19:00:00 - 01/01/2025 19:15:00","BZN|DE-LU","Sequence Sequence 1","1.48","",""
"01/01/2025 19:00:00 - 01/01/2025 19:15:00","BZN|DE-LU","Sequence Sequence 2","-2.10","",""
"01/01/2025 19:15:00 - 01/01/2025 19:30:00","BZN|DE-LU","Sequence Sequence 1","1.48","",""
"01/01/2025 19:15:00 - 01/01/2025 19:30:00","BZN|DE-LU","Sequence Sequence 2","20.02","",""
"01/01/2025 19:30:00 - 01/01/2025 19:45:00","BZN|DE-LU","Sequence Sequence 1","1.48","",""
"01/01/2025 19:30:00 - 01/01/2025 19:45:00","BZN|DE-LU","Sequence Sequence 2","12.52","",""
"01/01/2025 19:45:00 - 01/01/2025 20:00:00","BZN|DE-LU","Sequence Sequence 1","1.48","",""
"01/01/2025 19:45:00 - 01/01/2025 20:00:00","BZN|DE-LU","Sequence Sequence 2","2.53","",""
"01/01/2025 20:00:00 - 01/01/2025 20:15:00","BZN|DE-LU","Sequence Sequence 1","1.00","",""
"01/01/2025 20:00:00 - 01/01/2025 20:15:00","BZN|DE-LU","Sequence Sequence 2","-4.96","",""
"01/01/2025 20:15:00 - 01/01/2025 20:30:00","BZN|DE-LU","Sequence Sequence 1","1.00","",""
"01/01/2025 20:15:00 - 01/01/2025 20:30:00","BZN|DE-LU","Sequence Sequence 2","31.60","",""
"01/01/2025 20:30:00 - 01/01/2025 20:45:00","BZN|DE-LU","Sequence Sequence 1","1.00","",""
"01/01/2025 20:30:00 - 01/01/2025 20:45:00","BZN|DE-LU","Sequence Sequence 2","10.00","",""
"01/01/2025 20:45:00 - 01/01/2025 21:00:00","BZN|DE-LU","Sequence Sequence 1","1.00","",""
"01/01/2025 20:45:00 - 01/01/2025 21:00:00","BZN|DE-LU","Sequence Sequence 2","-2.41","",""
"01/01/2025 21:00:00 - 01/01/2025 21:15:00","BZN|DE-LU","Sequence Sequence 1","0.07","",""
"01/01/2025 21:00:00 - 01/01/2025 21:15:00","BZN|DE-LU","Sequence Sequence 2","5.08","",""
"01/01/2025 21:15:00 - 01/01/2025 21:30:00","BZN|DE-LU","Sequence Sequence 1","0.07","",""
"01/01/2025 21:15:00 - 01/01/2025 21:30:00","BZN|DE-LU","Sequence Sequence 2","2.59","",""
"01/01/2025 21:30:00 - 01/01/2025 21:45:00","BZN|DE-LU","Sequence Sequence 1","0.07","",""
"01/01/2025 21:30:00 - 01/01/2025 21:45:00","BZN|DE-LU","Sequence Sequence 2","0.09","",""
"01/01/2025 21:45:00 - 01/01/2025 22:00:00","BZN|DE-LU","Sequence Sequence 1","0.07","",""
"01/01/2025 21:45:00 - 01/01/2025 22:00:00","BZN|DE-LU","Sequence Sequence 2","6.66","",""
"01/01/2025 22:00:00 - 01/01/2025 22:15:00","BZN|DE-LU","Sequence Sequence 1","10.05","",""
"01/01/2025 22:00:00 - 01/01/2025 22:15:00","BZN|DE-LU","Sequence Sequence 2","38.30","",""
"01/01/2025 22:15:00 - 01/01/2025 22:30:00","BZN|DE-LU","Sequence Sequence 1","10.05","",""
"01/01/2025 22:15:00 - 01/01/2025 22:30:00","BZN|DE-LU","Sequence Sequence 2","8.66","",""
"01/01/2025 22:30:00 - 01/01/2025 22:45:00","BZN|DE-LU","Sequence Sequence 1","10.05","",""
"01/01/2025 22:30:00 - 01/01/2025 22:45:00","BZN|DE-LU","Sequence Sequence 2","-9.90","",""
"01/01/2025 22:45:00 - 01/01/2025 23:00:00","BZN|DE-LU","Sequence Sequence 1","10.05","",""
"01/01/2025 22:45:00 - 01/01/2025 23:00:00","BZN|DE-LU","Sequence Sequence 2","-22.41","",""
"01/01/2025 23:00:00 - 01/01/2025 23:15:00","BZN|DE-LU","Sequence Sequence 1","7.01","",""
"01/01/2025 23:00:00 - 01/01/2025 23:15:00","BZN|DE-LU","Sequence Sequence 2","42.41","",""
"01/01/2025 23:15:00 - 01/01/2025 23:30:00","BZN|DE-LU","Sequence Sequence 1","7.01","",""
"01/01/2025 23:15:00 - 01/01/2025 23:30:00","BZN|DE-LU","Sequence Sequence 2","6.65","",""
"01/01/2025 23:30:00 - 01/01/2025 23:45:00","BZN|DE-LU","Sequence Sequence 1","7.01","",""
"01/01/2025 23:30:00 - 01/01/2025 23:45:00","BZN|DE-LU","Sequence Sequence 2","-17.40","",""
"01/01/2025 23:45:00 - 02/01/2025 00:00:00","BZN|DE-LU","Sequence Sequence 1","7.01","",""
"01/01/2025 23:45:00 - 02/01/2025 00:00:00","BZN|DE-LU","Sequence Sequence 2","-27.41","",""
"02/01/2025 00:00:00 - 02/01/2025 00:15:00","BZN|DE-LU","Sequence Sequence 1","2.55","",""
"02/01/2025 00:00:00 - 02/01/2025 00:15:00","BZN|DE-LU","Sequence Sequence 2","41.30","",""
"02/01/2025 00:15:00 - 02/01/2025 00:30:00","BZN|DE-LU","Sequence Sequence 1","2.55","",""
"02/01/2025 00:15:00 - 02/01/2025 00:30:00","BZN|DE-LU","Sequence Sequence 2","30.80","",""
"02/01/2025 00:30:00 - 02/01/2025 00:45:00","BZN|DE-LU","Sequence Sequence 1","2.55","",""
"02/01/2025 00:30:00 - 02/01/2025 00:45:00","BZN|DE-LU","Sequence Sequence 2","-5.19","",""
"02/01/2025 00:45:00 - 02/01/2025 01:00:00","BZN|DE-LU","Sequence Sequence 1","2.55","",""
"02/01/2025 00:45:00 - 02/01/2025 01:00:00","BZN|DE-LU","Sequence Sequence 2","-29.91","",""
"02/01/2025 01:00:00 - 02/01/2025 01:15:00","BZN|DE-LU","Sequence Sequence 1","1.56","",""
"02/01/2025 01:00:00 - 02/01/2025 01:15:00","BZN|DE-LU","Sequence Sequence 2","34.92","",""
"02/01/2025 01:15:00 - 02/01/2025 01:30:00","BZN|DE-LU","Sequence Sequence 1","1.56","",""
"02/01/2025 01:15:00 - 02/01/2025 01:30:00","BZN|DE-LU","Sequence Sequence 2","29.60","",""
"02/01/2025 01:30:00 - 02/01/2025 01:45:00","BZN|DE-LU","Sequence Sequence 1","1.56","",""
"02/01/2025 01:30:00 - 02/01/2025 01:45:00","BZN|DE-LU","Sequence Sequence 2","1.00","",""
"02/01/2025 01:45:00 - 02/01/2025 02:00:00","BZN|DE-LU","Sequence Sequence 1","1.56","",""
"02/01/2025 01:45:00 - 02/01/2025 02:00:00","BZN|DE-LU","Sequence Sequence 2","-29.91","",""
"02/01/2025 02:00:00 - 02/01/2025 02:15:00","BZN|DE-LU","Sequence Sequence 1","3.45","",""
"02/01/2025 02:00:00 - 02/01/2025 02:15:00","BZN|DE-LU","Sequence Sequence 2","0.68","",""
"02/01/2025 02:15:00 - 02/01/2025 02:30:00","BZN|DE-LU","Sequence Sequence 1","3.45","",""
"02/01/2025 02:15:00 - 02/01/2025 02:30:00","BZN|DE-LU","Sequence Sequence 2","27.40","",""
"02/01/2025 02:30:00 - 02/01/2025 02:45:00","BZN|DE-LU","Sequence Sequence 1","3.45","",""
"02/01/2025 02:30:00 - 02/01/2025 02:45:00","BZN|DE-LU","Sequence Sequence 2","29.90","",""
"02/01/2025 02:45:00 - 02/01/2025 03:00:00","BZN|DE-LU","Sequence Sequence 1","3.45","",""
"02/01/2025 02:45:00 - 02/01/2025 03:00:00","BZN|DE-LU","Sequence Sequence 2","32.41","",""
"02/01/2025 03:00:00 - 02/01/2025 03:15:00","BZN|DE-LU","Sequence Sequence 1","7.02","",""
"02/01/2025 03:00:00 - 02/01/2025 03:15:00","BZN|DE-LU","Sequence Sequence 2","24.91","",""
"02/01/2025 03:15:00 - 02/01/2025 03:30:00","BZN|DE-LU","Sequence Sequence 1","7.02","",""
"02/01/2025 03:15:00 - 02/01/2025 03:30:00","BZN|DE-LU","Sequence Sequence 2","29.91","",""
"02/01/2025 03:30:00 - 02/01/2025 03:45:00","BZN|DE-LU","Sequence Sequence 1","7.02","",""
"02/01/2025 03:30:00 - 02/01/2025 03:45:00","BZN|DE-LU","Sequence Sequence 2","34.91","",""
"02/01/2025 03:45:00 - 02/01/2025 04:00:00","BZN|DE-LU","Sequence Sequence 1","7.02","",""
"02/01/2025 03:45:00 - 02/01/2025 04:00:00","BZN|DE-LU","Sequence Sequence 2","13.07","",""
"02/01/2025 04:00:00 - 02/01/2025 04:15:00","BZN|DE-LU","Sequence Sequence 1","12.75","",""
"02/01/2025 04:00:00 - 02/01/2025 04:15:00","BZN|DE-LU","Sequence Sequence 2","-18.91","",""
"02/01/2025 04:15:00 - 02/01/2025 04:30:00","BZN|DE-LU","Sequence Sequence 1","12.75","",""
"02/01/2025 04:15:00 - 02/01/2025 04:30:00","BZN|DE-LU","Sequence Sequence 2","32.41","",""
"02/01/2025 04:30:00 - 02/01/2025 04:45:00","BZN|DE-LU","Sequence Sequence 1","12.75","",""
"02/01/2025 04:30:00 - 02/01/2025 04:45:00","BZN|DE-LU","Sequence Sequence 2","37.40","",""
"02/01/2025 04:45:00 - 02/01/2025 05:00:00","BZN|DE-LU","Sequence Sequence 1","12.75","",""
"02/01/2025 04:45:00 - 02/01/2025 05:00:00","BZN|DE-LU","Sequence Sequence 2","39.90","",""
"02/01/2025 05:00:00 - 02/01/2025 05:15:00","BZN|DE-LU","Sequence Sequence 1","30.07","",""
"02/01/2025 05:00:00 - 02/01/2025 05:15:00","BZN|DE-LU","Sequence Sequence 2","29.99","",""
"02/01/2025 05:15:00 - 02/01/2025 05:30:00","BZN|DE-LU","Sequence Sequence 1","30.07","",""
"02/01/2025 05:15:00 - 02/01/2025 05:30:00","BZN|DE-LU","Sequence Sequence 2","50.80","",""
"02/01/2025 05:30:00 - 02/01/2025 05:45:00","BZN|DE-LU","Sequence Sequence 1","30.07","",""
"02/01/2025 05:30:00 - 02/01/2025 05:45:00","BZN|DE-LU","Sequence Sequence 2","59.90","",""
"02/01/2025 05:45:00 - 02/01/2025 06:00:00","BZN|DE-LU","Sequence Sequence 1","30.07","",""
"02/01/2025 05:45:00 - 02/01/2025 06:00:00","BZN|DE-LU","Sequence Sequence 2","50.51","",""
"02/01/2025 06:00:00 - 02/01/2025 06:15:00","BZN|DE-LU","Sequence Sequence 1","67.13","",""
